Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.0.104-107.23.97.250-44130-443-6,192.168.0.104,44130,107.23.97.250,443,6,13/09/2020 10:34:05 AM,666548,7,4,643.0,5261.0,517.0,0.0,91.85714285714286,193.26185049601193,3861.0,0.0,1315.25,1820.9695906302225,8857.576648643459,16.502937522879073,66654.80000000002,137528.7379704087,331258.0,9.0,666548.0,111091.33333333333,167726.74354874558,331284.0,163.0,334941.0,111647.0,191637.52198095236,332928.0,17.0,0,0,0,0,232,136,10.501869332741228,6.001068190137844,0.0,3861.0,491.9999999999999,1138.009346502599,1295065.2727272727,1,2,0,3,10,0,0,0,0.0,536.7272727272727,91.85714285714286,1315.25,0,0,0,0,4,17319,0,58,0,478,64240,110,2,32,0,0,0,0,1.5999725463087295E15,249739.26446489655,1.599972546481975E15,1.599972545815684E15,No Label
107.23.97.250-192.168.0.104-443-44130-6,107.23.97.250,443,192.168.0.104,44130,6,13/09/2020 10:34:06 AM,46,2,1,258.0,0.0,258.0,0.0,129.0,182.43354954612926,0.0,0.0,0.0,0.0,5608695.652173913,65217.391304347824,23.0,9.899494936611665,30.0,16.0,46.0,46.0,0.0,46.0,46.0,0,0,0,0,0,1,0,0,0,64,20,43478.260869565216,21739.130434782608,0.0,258.0,129.0,148.95636945092346,22188.0,1,0,1,1,2,0,0,0,0.0,172.0,129.0,0.0,0,0,0,0,0,0,0,86,0,0,110,0,0,32,0,0,0,0,0,0,0,0,No Label
192.168.0.104-52.22.132.36-32952-443-6,192.168.0.104,32952,52.22.132.36,443,6,13/09/2020 10:34:08 AM,431469,4,1,517.0,0.0,517.0,0.0,129.25,258.5,0.0,0.0,0.0,0.0,1198.232086198545,11.588318048341828,107867.25000000001,196938.01202980088,402588.0,43.0,431469.0,143823.0,224582.4712861625,402631.0,238.0,0,0,0,0,0,0,0,0,0,136,40,9.270654438673462,2.3176636096683656,0.0,517.0,86.16666666666667,211.0643661698172,44548.16666666667,1,2,0,1,4,0,0,0,0.0,103.4,129.25,0.0,0,0,0,0,0,0,0,103,0,0,64240,26847,1,32,0,0,0,0,1.5999725491410635E15,284810.5906466612,1.599972549342455E15,1.599972548939672E15,No Label
52.22.132.36-192.168.0.104-443-32952-6,52.22.132.36,443,192.168.0.104,32952,6,13/09/2020 10:34:09 AM,3390,6,4,5278.0,0.0,1400.0,0.0,879.6666666666666,692.7053245548692,0.0,0.0,0.0,0.0,1556932.1533923305,2949.8525073746314,376.66666666666674,1043.6436173330433,3159.0,3.0,3390.0,678.0,1405.5683903673987,3192.0,11.0,3290.0,1096.6666666666667,1817.4031840330128,3195.0,21.0,0,0,0,0,192,80,1769.911504424779,1179.9410029498526,0.0,1400.0,479.81818181818176,671.5358245368326,450960.3636363636,1,0,4,1,6,0,0,0,0.0,527.8,879.6666666666666,0.0,0,0,0,0,4,1592156,0,527,0,0,110,0,4,32,0,0,0,0,1.5999725497525945E15,1569.2109527912808,1.599972549753588E15,1.599972549750249E15,No Label
127.0.0.1-127.0.0.1-53816-53816-17,127.0.0.1,53816,127.0.0.1,53816,17,13/09/2020 10:32:40 AM,60082979,12,0,3776.0,0.0,936.0,24.0,314.66666666666663,347.4973730007527,0,0,0,0,62.84641778497701,0.19972378533361337,5462089.0,1.8098084021297116E7,6.0029863E7,6.0,6.0082979E7,5462089.0,1.8098084021297116E7,6.0029863E7,6.0,0,0,0,0,0,0,0,0,0,96,0,0.19972378533361337,0.0,24.0,936.0,292.9230769230769,341.8153647654587,116837.74358974358,0,0,0,0,0,0,0,0,0.0,317.3333333333333,314.6666666666667,0.0,0,0,0,0,6,71089,1,314,0,0,0,0,11,8,0,0,0,0,1.5999724902196292E15,3.1648006468394786E7,1.59997252025511E15,1.59997246017659E15,No Label
192.168.0.104-107.23.97.250-44080-443-6,192.168.0.104,44080,107.23.97.250,443,6,13/09/2020 10:34:05 AM,61718627,12,14,1620.0,6916.0,840.0,0.0,135.0,266.5111288824199,2800.0,0.0,494.0,958.2809929965539,138.30508575636333,0.42126666233194077,2468745.08,9321447.070801476,4.5002154E7,7.0,4.6651936E7,4241085.090909091,1.363782517143113E7,4.5356437E7,192.0,6.1245011E7,4711154.692307692,1.2896593389630808E7,4.5523277E7,7.0,0,0,0,0,392,456,0.1944307672301265,0.22683589510181423,0.0,2800.0,316.1481481481481,724.7229021497009,525223.2849002848,1,2,0,13,25,0,0,0,1.0,328.3076923076923,135.0,494.0,0,0,0,0,12,10298,0,62,0,266,64240,116,5,32,0,0,0,0,1.5999725532227925E15,1.75800509082072E7,1.59997260678585E15,1.599972545588504E15,No Label
192.168.0.104-107.23.97.250-44080-443-6,192.168.0.104,44080,107.23.97.250,443,6,13/09/2020 10:35:07 AM,397,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,5037.783375314862,397.0,0.0,397.0,397.0,397.0,397.0,0.0,397.0,397.0,0,0,0,0,0,0,0,0,0,64,0,5037.783375314862,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,501,0,0,32,0,0,0,0,0,0,0,0,No Label
192.168.0.104-18.209.122.133-52184-443-6,192.168.0.104,52184,18.209.122.133,443,6,13/09/2020 10:34:07 AM,61173747,7,8,643.0,5664.0,517.0,0.0,91.85714285714285,193.26185049601193,5260.0,0.0,708.0,1841.268584427595,103.09978232982851,0.24520322418700297,4369553.357142857,1.2352727424938964E7,4.5121688E7,8.0,4.6109294E7,7684882.333333333,1.83409150183741E7,4.5121688E7,342.0,6.0833134E7,8690447.714285715,1.712765345130902E7,4.5542198E7,8.0,0,0,0,0,232,264,0.11442817128726805,0.13077505289973493,0.0,5260.0,394.18749999999994,1304.8378299620224,1702601.7624999995,1,2,0,7,14,0,0,0,1.0,420.46666666666664,91.85714285714286,708.0,0,0,0,0,5,9668,0,42,0,377,64240,110,2,32,0,0,0,0,1.5999725566185528E15,2.0776503562418904E7,1.599972607910525E15,1.599972547155202E15,No Label
192.168.0.104-18.209.122.133-52132-443-6,192.168.0.104,52132,18.209.122.133,443,6,13/09/2020 10:34:06 AM,63354874,24,24,2265.0,8908.0,1027.0,0.0,94.37500000000001,226.4368253389126,2460.0,0.0,371.16666666666663,612.9348973633311,176.35580807879123,0.7576370525178536,1347976.0425531915,6847762.429609689,4.5009104E7,5.0,6.3354874E7,2754559.739130435,9723659.006855417,4.5009104E7,252.0,6.3008152E7,2739484.8695652173,9786952.58443386,4.5425044E7,5.0,0,0,0,0,776,776,0.3788185262589268,0.3788185262589268,0.0,2460.0,228.0204081632653,474.17878527846767,224845.52040816317,1,2,0,28,47,0,0,0,1.0,232.77083333333334,94.375,371.1666666666667,0,0,0,0,28,3810,0,47,0,185,64240,118,10,32,0,0,0,0,1.599972553382934E15,1.576825560032798E7,1.599972610273787E15,1.599972546919616E15,No Label
192.168.0.104-52.22.132.36-33016-443-6,192.168.0.104,33016,52.22.132.36,443,6,13/09/2020 10:34:09 AM,104554937,9,9,643.0,5621.0,517.0,0.0,71.44444444444444,172.20127112706743,2800.0,0.0,624.5555555555555,1148.351765696286,59.911087699282916,0.17215829798644516,6150290.411764706,1.5137154035665408E7,4.6480536E7,11.0,9.3051331E7,1.1631416375E7,2.1172583334435046E7,4.6848002E7,49.0,1.04166466E8,1.302080825E7,2.0786693236201543E7,4.6898247E7,29.0,0,0,0,0,296,296,0.08607914899322258,0.08607914899322258,0.0,2800.0,329.6842105263158,825.9117556193128,682130.2280701755,1,2,0,5,17,0,0,0,1.0,348.0,71.44444444444444,624.5555555555555,0,0,0,0,6,7696,0,35,0,312,64240,110,2,32,0,0,0,0,1.499974277908642E15,3.999931379307897E14,1.599972642048931E15,1.0668184E7,No Label
