Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.0.104-52.149.21.60-50492-443-6,192.168.0.104,50492,52.149.21.60,443,6,07/09/2020 07:55:28 PM,18048053,9,6,675.0,6094.0,517.0,0.0,75.0,173.79154179648677,2824.0,0.0,1015.6666666666666,1185.36790350788,375.0543064118883,0.831114580614319,1289146.6428571427,4552907.885089173,1.7101824E7,15.0,1.8048053E7,2256006.625,6000608.612091847,1.7101824E7,178.0,612432.0,122486.4,166276.04682364804,322528.0,29.0,0,0,0,0,200,132,0.4986687483685914,0.33244583224572755,0.0,2824.0,423.06249999999994,842.357839143595,709566.7291666666,1,2,0,4,14,0,0,0,0.0,451.26666666666665,75.0,1015.6666666666666,0,0,0,0,7,11056,0,45,0,406,64240,2049,2,20,0,0,0,0,1.4764503046761085E15,4.436181014731431E14,1.59948782900772E15,1.7058812E7,No Label
192.168.0.104-52.149.21.60-50490-443-6,192.168.0.104,50490,52.149.21.60,443,6,07/09/2020 07:55:28 PM,18048270,7,3,675.0,6088.0,517.0,0.0,96.42857142857143,194.5780538694409,6037.0,0.0,2029.3333333333335,3470.8348179268532,374.71735518141077,0.554069725242364,2005363.3333333333,5663014.255942103,1.7102003E7,11.0,1.804827E7,3008045.0,6906307.758251264,1.7102003E7,278.0,612410.0,306205.0,29141.284666259995,326811.0,285599.0,0,0,0,0,160,72,0.3878488076696548,0.1662209175727092,0.0,6037.0,614.8181818181819,1805.0542273395456,3258220.763636364,1,2,0,4,9,0,0,0,0.0,676.3,96.42857142857143,2029.3333333333333,0,0,0,0,4,11048,0,67,0,608,64240,2049,2,20,0,0,0,0,1.3995518521485115E15,5.655043389793419E14,1.599487829006124E15,1.7059031E7,No Label
192.168.0.104-192.229.232.200-47620-443-6,192.168.0.104,47620,192.229.232.200,443,6,07/09/2020 07:55:15 PM,89454081,3,6,0.0,99.0,0.0,0.0,0.0,0.0,57.0,0.0,16.5,21.44527920079382,1.106713063208374,0.10061027847348854,1.1181760125E7,1.7701175539742813E7,4.4291606E7,17.0,4.5087954E7,2.2543977E7,1.4871366361887263E7,3.3059621E7,1.2028333E7,8.9366282E7,1.78732564E7,1.9988083603128772E7,4.4291606E7,17.0,0,0,0,0,60,120,0.033536759491162846,0.06707351898232569,0.0,57.0,9.9,18.11353085403285,328.1,1,0,0,2,9,0,0,0,2.0,11.0,0.0,16.5,0,0,0,0,0,0,0,0,0,11,501,298,0,20,0,0,0,0,1.5994878563793018E15,2.88954676769436E7,1.59948790478827E15,1.599487815496601E15,No Label
192.168.0.104-192.229.232.200-47620-443-6,192.168.0.104,47620,192.229.232.200,443,6,07/09/2020 07:56:44 PM,352,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,5681.818181818182,352.0,0.0,352.0,352.0,352.0,352.0,0.0,352.0,352.0,0,0,0,0,0,0,0,0,0,40,0,5681.818181818182,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,501,0,0,20,0,0,0,0,0,0,0,0,No Label
192.168.0.104-63.32.147.35-38248-443-6,192.168.0.104,38248,63.32.147.35,443,6,07/09/2020 07:56:52 PM,1216578,12,8,1206.0,7860.0,611.0,0.0,100.49999999999999,202.84544048923735,4200.0,0.0,982.5,1571.8880367252625,7452.0499302140925,16.439554225047633,64030.42105263159,120826.52803241687,304629.0,23.0,1216578.0,110598.0,144186.5074637707,304739.0,73.0,921718.0,131674.0,158721.22052412105,308148.0,23.0,0,0,0,0,392,264,9.86373253502858,6.575821690019054,0.0,4200.0,431.7142857142856,1041.1091269822361,1083908.214285714,1,2,0,10,19,0,0,0,0.0,453.3,100.5,982.5,0,0,0,0,11,10028,0,60,0,393,64240,114,6,32,0,0,0,0,1.5994879136937778E15,333390.0792225224,1.599487914208994E15,1.599487912992691E15,No Label
192.168.0.104-63.32.147.35-38248-443-6,192.168.0.104,38248,63.32.147.35,443,6,07/09/2020 07:56:54 PM,306654,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.522008517743124,306654.0,0.0,306654.0,306654.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,3.261004258871562,3.261004258871562,0.0,0.0,0.0,0.0,0.0,1,0,1,0,2,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,501,114,0,32,0,0,0,0,0,0,0,0,No Label
192.168.0.104-63.32.147.35-38250-443-6,192.168.0.104,38250,63.32.147.35,443,6,07/09/2020 07:56:54 PM,874385,9,6,1028.0,2157.0,553.0,0.0,114.22222222222223,218.29726165127323,1986.0,0.0,359.5,798.5836837802285,3642.560199454474,17.154914597116832,62456.07142857143,120981.16226565337,301758.0,27.0,874385.0,109298.125,146273.88816916366,302325.0,67.0,614308.0,122861.6,167991.61053546693,307138.0,27.0,0,0,0,0,296,200,10.292948758270098,6.861965838846732,0.0,1986.0,199.06249999999997,505.2231808814793,255250.4625,1,2,0,7,14,0,0,0,0.0,212.33333333333334,114.22222222222223,359.5,0,0,0,0,7,5288,0,68,0,143,64240,114,4,32,0,0,0,0,1.599487914828675E15,281187.1850389913,1.59948791513084E15,1.599487914256709E15,No Label
192.168.0.104-63.32.147.35-38250-443-6,192.168.0.104,38250,63.32.147.35,443,6,07/09/2020 07:56:55 PM,305849,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.539174559995292,305849.0,0.0,305849.0,305849.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,3.269587279997646,3.269587279997646,0.0,0.0,0.0,0.0,0.0,1,0,1,0,2,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,501,114,0,32,0,0,0,0,0,0,0,0,No Label
192.168.0.104-18.200.1.21-48896-443-6,192.168.0.104,48896,18.200.1.21,443,6,07/09/2020 07:56:51 PM,6227781,11,6,824.0,6305.0,434.0,0.0,74.90909090909092,137.68329931074032,5289.0,0.0,1050.8333333333333,2111.011266352377,1144.7094880182844,2.729704207646351,389236.3125,1224749.5627997161,4958961.0,51.0,6227781.0,622778.1,1530517.4034467668,4958961.0,166.0,921197.0,184239.4,161485.9575498749,314440.0,4016.0,0,0,0,0,360,200,1.766279193182933,0.963425014463418,0.0,5289.0,396.05555555555566,1244.639303867601,1549126.9967320266,1,2,0,9,16,0,0,0,0.0,419.3529411764706,74.9090909090909,1050.8333333333333,0,0,0,0,8,7863,0,48,0,370,64240,114,6,32,0,0,0,0,1.5994879127041625E15,1508152.7288346116,1.599487917835683E15,1.599487911652097E15,No Label
192.168.0.104-52.149.21.60-50332-443-6,192.168.0.104,50332,52.149.21.60,443,6,07/09/2020 07:55:13 PM,119431712,21,14,13885.0,6982.0,1412.0,0.0,661.1904761904763,672.7670190376175,3385.0,6.0,498.7142857142858,1021.7759372455714,174.7190896836512,0.2930544946052519,3512697.4117647056,9420025.145364624,4.5657548E7,9.0,1.19431712E8,5971585.600000001,1.18372136991089E7,4.5657548E7,12.0,1.19097842E8,9161372.461538462,1.3930298739412948E7,4.5971996E7,9.0,0,0,0,0,420,280,0.17583269676315114,0.11722179784210077,0.0,3385.0,579.6388888888888,814.0195909463387,662627.8944444446,0,0,0,13,35,0,0,0,0.0,596.2,661.1904761904761,498.7142857142857,0,0,0,0,6,10987,0,396,0,199,633,2051,14,20,0,0,0,0,1.599487884045912E15,4.547131001799451E7,1.59948793305631E15,1.599487813958548E15,No Label
