Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.0.104-52.114.128.9-53588-443-6,192.168.0.104,53588,52.114.128.9,443,6,14/09/2020 10:36:36 AM,25836009,109,44,148204.0,871.0,1400.0,0.0,1359.669724770642,201.65027734347728,445.0,0.0,19.795454545454543,91.78579196567041,5770.047533270328,5.921967282175819,169973.7434210526,1934615.1730351427,2.3857123E7,1.0,2.5559104E7,236658.37037037028,2294864.635336214,2.3857123E7,1.0,2.5556278E7,594332.0465116279,3677254.1500706547,2.4141935E7,3.0,1,0,0,0,3488,1408,4.218917867693884,1.7030494144819348,0.0,1400.0,972.8376623376619,631.8482223513943,399232.176088617,1,0,0,6,153,0,0,0,0.0,979.1960784313726,1359.6697247706422,19.795454545454547,0,0,0,0,55,75333,0,968,0,5,501,1028,107,32,0,0,0,0,1.6000591045995975E15,1.144649323287712E7,1.600059122277321E15,1.600059096445151E15,No Label
192.168.0.104-52.98.68.178-59284-443-6,192.168.0.104,59284,52.98.68.178,443,6,14/09/2020 10:36:47 AM,24912678,7,4,675.0,4832.0,517.0,0.0,96.42857142857143,194.5780538694409,4437.0,0.0,1208.0,2157.2320227550863,221.052108488698,0.4415422541085306,2491267.8,7695961.52835055,2.4393277E7,46.0,2.4912678E7,4152113.0000000005,9916395.04051655,2.4393277E7,678.0,363798.0,121266.0,107137.5859584301,203271.0,46.0,0,0,0,0,160,92,0.2809814344327013,0.1605608196758293,0.0,4437.0,458.91666666666663,1263.5809473896245,1596636.8106060608,1,2,0,5,10,0,0,0,0.0,500.6363636363636,96.42857142857143,1208.0,0,0,0,0,5,15169,0,61,0,439,64240,2049,2,20,0,0,0,0,1.4222747649297218E15,5.33353027701235E14,1.600059107725988E15,2.4393095E7,No Label
3.129.124.188-192.168.0.104-443-57498-6,3.129.124.188,443,192.168.0.104,57498,6,14/09/2020 10:37:17 AM,64,2,1,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0.0,0.0,0.0,0.0,484375.0,46875.0,32.0,14.142135623730951,42.0,22.0,64.0,64.0,0.0,64.0,64.0,0,0,0,0,0,1,0,0,0,64,32,31250.0,15625.0,0.0,31.0,15.499999999999998,17.897858344878397,320.3333333333333,1,0,0,1,3,0,0,0,0.0,20.666666666666668,15.5,0.0,0,0,0,0,0,0,0,10,0,0,143,501,0,32,0,0,0,0,0,0,0,0,No Label
192.229.232.200-192.168.0.104-443-53694-6,192.229.232.200,443,192.168.0.104,53694,6,14/09/2020 10:36:48 AM,58282635,5,4,93.0,0.0,57.0,0.0,18.6,23.276597689524987,0.0,0.0,0.0,0.0,1.5956725360821453,0.15441992284665923,7285329.374999999,1.5717535557411037E7,4.4271869E7,4.0,5.8282635E7,1.4570658750000002E7,2.087328207390207E7,4.4271869E7,17.0,5.8282608E7,1.9427536E7,2.2685345112891648E7,4.4358183E7,28.0,0,0,0,0,100,80,0.0857888460259218,0.06863107682073744,0.0,57.0,9.9,18.11353085403285,328.1,1,0,0,2,9,0,0,0,0.0,11.0,18.6,0.0,0,0,0,0,0,0,0,10,0,0,293,501,3,20,0,0,0,0,1.600059142249469E15,2.726625121491344E7,1.600059166734931E15,1.600059108538618E15,No Label
192.168.0.104-23.54.89.172-40468-443-6,192.168.0.104,40468,23.54.89.172,443,6,14/09/2020 10:36:35 AM,75483116,3,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0662399787523345,1.8870779E7,2.263874675499088E7,4.6465268E7,335065.0,7.5483116E7,3.7741558E7,1.2833142378825538E7,4.681596E7,2.8667156E7,4.6800333E7,4.6800333E7,0.0,4.6800333E7,4.6800333E7,0,0,0,0,96,64,0.0397439872514007,0.0264959915009338,0.0,0.0,0.0,0.0,0.0,1,0,0,0,5,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,501,243,0,32,0,0,0,0,1.066706089041905E15,9.237945472356998E14,1.6000591424541E15,2.7997026E7,No Label
23.54.89.172-192.168.0.104-443-40468-6,23.54.89.172,443,192.168.0.104,40468,6,14/09/2020 10:37:51 AM,24,2,1,24.0,0.0,24.0,0.0,12.0,16.97056274847714,0.0,0.0,0.0,0.0,1000000.0,125000.0,12.0,8.48528137423857,18.0,6.0,24.0,24.0,0.0,24.0,24.0,0,0,0,0,0,1,0,0,0,64,20,83333.33333333333,41666.666666666664,0.0,24.0,12.0,13.856406460551018,192.0,1,0,1,1,2,0,0,0,0.0,16.0,12.0,0.0,0,0,0,0,0,0,0,8,0,0,243,0,0,32,0,0,0,0,0,0,0,0,No Label
192.168.0.104-40.122.160.14-53050-443-6,192.168.0.104,53050,40.122.160.14,443,6,14/09/2020 10:37:26 AM,25898919,91,34,115076.0,7013.0,1400.0,0.0,1264.5714285714284,383.5826187365969,4690.0,0.0,206.26470588235298,832.8941985566382,4714.057756619109,4.8264562702404685,208862.25000000003,2105783.220668496,2.3455332E7,2.0,2.5616688E7,284629.8666666666,2471218.4729333133,2.3455332E7,2.0,2.5619188E7,776339.0303030302,4143772.23697993,2.3850987E7,5.0,0,0,0,0,2920,1096,3.513660164735061,1.3127961055054074,0.0,4690.0,968.9603174603176,720.0204819397145,518429.4944126988,1,2,0,10,124,0,0,0,0.0,976.712,1264.5714285714287,206.26470588235293,0,0,0,0,45,57660,0,920,0,56,64240,1028,86,32,0,0,0,0,1.6000591635468508E15,1.1679960627925608E7,1.600059172388429E15,1.600059146493908E15,No Label
192.168.0.104-18.200.1.32-48548-443-6,192.168.0.104,48548,18.200.1.32,443,6,14/09/2020 10:38:09 AM,811121,11,6,1155.0,7321.0,560.0,0.0,105.0,198.19586272170264,5286.0,0.0,1220.1666666666667,2142.326437932993,10449.735612812392,20.95864858633915,50695.06250000001,86802.70281695822,201668.0,12.0,811121.0,81112.1,100644.21873604508,202208.0,53.0,618599.0,123719.8,110195.45659281965,207850.0,12.0,0,0,0,0,360,200,13.561478497042982,7.397170089296171,0.0,5286.0,470.88888888888886,1292.5917825593158,1670793.5163398692,1,2,0,9,16,0,0,0,0.0,498.5882352941176,105.0,1220.1666666666667,0,0,0,0,9,13950,0,67,0,430,64240,114,6,32,0,0,0,0,1.600059189683229E15,227273.58762814896,1.600059190047924E15,1.600059189237011E15,No Label
18.200.1.32-192.168.0.104-443-48548-6,18.200.1.32,443,192.168.0.104,48548,6,14/09/2020 10:38:10 AM,187223,2,1,34.0,0.0,34.0,0.0,17.0,24.041630560342615,0.0,0.0,0.0,0.0,181.60161945914766,16.02367230521891,93611.5,132324.42749734456,187179.0,44.0,187223.0,187223.0,0.0,187223.0,187223.0,0,0,0,0,0,1,0,0,0,64,20,10.682448203479273,5.341224101739637,0.0,34.0,17.0,19.629909152447276,385.3333333333333,1,0,1,1,2,0,0,0,0.0,22.666666666666668,17.0,0.0,0,0,0,0,0,0,0,11,0,0,114,0,0,32,0,0,0,0,0,0,0,0,No Label
192.168.0.104-23.54.89.172-40476-443-6,192.168.0.104,40476,23.54.89.172,443,6,14/09/2020 10:36:42 AM,94208625,4,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0743031755319643,1.5701437499999998E7,2.3233390004879545E7,4.6351589E7,333269.0,9.4208625E7,3.1402875E7,2.5319538376048703E7,4.6687952E7,2176689.0,9.2030449E7,4.60152245E7,947004.7775193639,4.6684858E7,4.5345591E7,0,0,0,0,128,96,0.04245895744683674,0.03184421808512756,0.0,0.0,0.0,0.0,0.0,1,0,0,0,7,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1573,260,0,32,0,0,0,0,1.6000591487798012E15,3.7166721736526035E7,1.600059193959472E15,1.600059102930437E15,No Label
