Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
157.240.7.35-192.168.0.104-443-39096-6,157.240.7.35,443,192.168.0.104,39096,6,11/09/2020 04:51:15 PM,50,2,1,39.0,0.0,39.0,0.0,19.5,27.577164466275352,0.0,0.0,0.0,0.0,780000.0,60000.0,25.0,14.142135623730951,35.0,15.0,50.0,50.0,0.0,50.0,50.0,0,0,0,0,0,1,0,0,0,64,32,40000.0,20000.0,0.0,39.0,19.5,22.516660498395403,507.0,1,0,0,1,3,0,0,0,0.0,26.0,19.5,0.0,0,0,0,0,0,0,0,13,0,0,416,1363,0,32,0,0,0,0,0,0,0,0,No Label
157.240.7.26-192.168.0.104-443-52818-6,157.240.7.26,443,192.168.0.104,52818,6,11/09/2020 04:51:16 PM,80,2,0,39.0,0.0,39.0,0.0,19.5,27.577164466275352,0,0,0,0,487499.99999999994,24999.999999999996,80.0,0.0,80.0,80.0,80.0,80.0,0.0,80.0,80.0,0,0,0,0,0,1,0,0,0,64,0,24999.999999999996,0.0,0.0,39.0,26.0,22.516660498395403,507.0,1,0,0,1,2,0,0,0,0.0,39.0,19.5,0.0,0,0,0,0,0,0,1,19,0,0,117,0,0,32,0,0,0,0,0,0,0,0,No Label
192.168.0.104-35.201.66.189-38784-443-6,192.168.0.104,38784,35.201.66.189,443,6,11/09/2020 04:51:23 PM,91257,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.91612698203973,91257.0,0.0,91257.0,91257.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,10.958063491019866,10.958063491019866,0.0,0.0,0.0,0.0,0.0,2,0,0,0,2,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,501,261,0,32,0,0,0,0,0,0,0,0,No Label
192.168.0.104-35.190.55.95-48602-443-6,192.168.0.104,48602,35.190.55.95,443,6,11/09/2020 04:51:23 PM,96688,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.685090186993214,96688.0,0.0,96688.0,96688.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,10.342545093496607,10.342545093496607,0.0,0.0,0.0,0.0,0.0,2,0,0,0,2,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,501,240,0,32,0,0,0,0,0,0,0,0,No Label
192.168.0.104-35.201.74.235-56752-443-6,192.168.0.104,56752,35.201.74.235,443,6,11/09/2020 04:51:23 PM,96043,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.82400591401768,96043.0,0.0,96043.0,96043.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,10.41200295700884,10.41200295700884,0.0,0.0,0.0,0.0,0.0,2,0,0,0,2,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,501,261,0,32,0,0,0,0,0,0,0,0,No Label
192.168.0.104-5.226.176.16-42068-443-6,192.168.0.104,42068,5.226.176.16,443,6,11/09/2020 04:51:23 PM,114927,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.402351057627886,114927.0,0.0,114927.0,114927.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,8.701175528813943,8.701175528813943,0.0,0.0,0.0,0.0,0.0,2,0,0,0,2,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,501,508,0,20,0,0,0,0,0,0,0,0,No Label
192.168.0.104-74.114.154.15-46360-443-6,192.168.0.104,46360,74.114.154.15,443,6,11/09/2020 04:51:23 PM,268729,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.442442014073658,268729.0,0.0,268729.0,268729.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,3.721221007036829,3.721221007036829,0.0,0.0,0.0,0.0,0.0,2,0,0,0,2,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,501,30,0,20,0,0,0,0,0,0,0,0,No Label
192.168.0.104-8.251.77.249-46982-443-6,192.168.0.104,46982,8.251.77.249,443,6,11/09/2020 04:51:23 PM,277058,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.218705108677605,277058.0,0.0,277058.0,277058.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,3.6093525543388023,3.6093525543388023,0.0,0.0,0.0,0.0,0.0,2,0,0,0,2,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,501,502,0,32,0,0,0,0,0,0,0,0,No Label
192.168.0.104-8.251.77.249-46932-443-6,192.168.0.104,46932,8.251.77.249,443,6,11/09/2020 04:51:23 PM,282915,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.069261085485039,282915.0,0.0,282915.0,282915.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,3.5346305427425193,3.5346305427425193,0.0,0.0,0.0,0.0,0.0,2,0,0,0,2,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,501,502,0,32,0,0,0,0,0,0,0,0,No Label
192.168.0.104-64.58.116.134-54920-443-6,192.168.0.104,54920,64.58.116.134,443,6,11/09/2020 04:51:23 PM,295210,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.774838250736765,295210.0,0.0,295210.0,295210.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,3.3874191253683823,3.3874191253683823,0.0,0.0,0.0,0.0,0.0,2,0,0,0,2,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,501,42,0,32,0,0,0,0,0,0,0,0,No Label
