Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.0.104-35.224.99.156-60614-80-6,192.168.0.104,60614,35.224.99.156,80,6,19/09/2020 10:45:43 AM,803852,4,4,87.0,148.0,87.0,0.0,21.75,43.5,148.0,0.0,37.0,74.0,292.34237148131746,9.952080731278892,114836.0,192402.75017611712,400201.0,64.0,803788.0,267929.3333333333,231997.5960011942,410789.0,244.0,411228.0,137076.0,227935.17898955397,400201.0,187.0,0,0,0,0,136,136,4.976040365639446,4.976040365639446,0.0,148.0,26.11111111111111,54.01028708599049,2917.1111111111113,1,2,0,2,7,0,0,0,1.0,29.375,21.75,37.0,0,0,0,0,0,0,0,10,0,18,64240,57,1,32,0,0,0,0,1.6004916437033812E15,280430.84723377594,1.60049164409798E15,1.600491643304911E15,No Label
127.0.0.1-127.0.0.1-55956-39293-6,127.0.0.1,55956,127.0.0.1,39293,6,19/09/2020 10:45:44 AM,274,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,7299.270072992701,274.0,0.0,274.0,274.0,274.0,274.0,0.0,274.0,274.0,0,0,0,0,0,0,0,0,0,64,0,7299.270072992701,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0,0,2,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,512,0,0,32,0,0,0,0,0,0,0,0,No Label
192.168.0.104-13.224.250.9-40750-443-6,192.168.0.104,40750,13.224.250.9,443,6,19/09/2020 10:45:49 AM,291593,9,7,774.0,6801.0,440.0,0.0,86.0,149.9766648515695,5934.0,0.0,971.5714285714286,2211.95191758643,25977.98986944131,54.87100170443049,19439.533333333336,30596.129972051473,89617.0,20.0,291593.0,36449.125,41871.86118364149,89678.0,62.0,208821.0,34803.5,43319.635842190546,94622.0,28.0,0,0,0,0,296,232,30.864938458742152,24.006063245688342,0.0,5934.0,445.58823529411774,1432.5506561210816,2052201.3823529417,1,2,0,7,15,0,0,0,0.0,473.4375,86.0,971.5714285714286,0,0,0,0,7,36705,0,48,0,425,64240,122,5,32,0,0,0,0,1.6004916495723058E15,86168.46485567576,1.600491649679526E15,1.600491649388072E15,No Label
216.58.203.3-192.168.0.104-443-38366-6,216.58.203.3,443,192.168.0.104,38366,6,19/09/2020 10:45:49 AM,27,2,0,56.0,0.0,56.0,0.0,28.0,39.59797974644666,0,0,0,0,2074074.0740740742,74074.07407407407,27.0,0.0,27.0,27.0,27.0,27.0,0.0,27.0,27.0,0,0,0,0,0,1,0,0,0,64,0,74074.07407407407,0.0,0.0,56.0,37.33333333333333,32.331615074619044,1045.3333333333335,1,0,0,1,2,0,0,0,0.0,56.0,28.0,0.0,0,0,0,0,0,0,1,28,0,0,245,0,0,32,0,0,0,0,0,0,0,0,No Label
192.168.0.104-13.224.250.9-40752-443-6,192.168.0.104,40752,13.224.250.9,443,6,19/09/2020 10:45:49 AM,431243,26,22,787.0,46962.0,440.0,0.0,30.26923076923077,95.58642484884878,5600.0,0.0,2134.636363636363,1530.3523884715028,110724.1161015947,111.3061545346823,9175.382978723406,20557.774276364762,84426.0,7.0,431243.0,17249.72,28582.07939210628,95114.0,17.0,343399.0,16352.333333333338,26599.04969041814,89333.0,20.0,0,0,0,0,1016,712,60.29083370628625,51.01532082839606,0.0,5600.0,974.4693877551018,1465.9371448275106,2148971.712585034,1,2,0,7,47,0,0,0,0.0,994.7708333333334,30.26923076923077,2134.6363636363635,0,0,0,0,22,139548,0,16,0,978,64240,122,5,32,0,0,0,0,1.6004916499564805E15,86507.09846135767,1.600491650113052E15,1.600491649681969E15,No Label
192.168.0.104-13.35.18.49-56994-443-6,192.168.0.104,56994,13.35.18.49,443,6,19/09/2020 10:45:46 AM,11955168,1,3,0.0,24.0,0.0,0.0,0.0,0.0,24.0,0.0,8.0,13.856406460551018,2.007500020075,0.3345833366791667,3985056.0,6828134.305989374,1.1869351E7,44.0,0,0,0,0,0,1.1869395E7,5934697.5,8392867.467684956,1.1869351E7,44.0,0,0,0,0,32,96,0.08364583416979167,0.250937502509375,0.0,24.0,4.8,10.73312629199899,115.2,1,0,0,1,4,0,0,0,3.0,6.0,0.0,8.0,0,0,0,0,0,0,0,0,0,6,501,122,0,32,0,0,0,0,1.600491658045518E15,0.0,1.600491658045518E15,1.600491658045518E15,No Label
192.168.0.104-13.35.18.49-56994-443-6,192.168.0.104,56994,13.35.18.49,443,6,19/09/2020 10:45:58 AM,44022,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.43182953977557,44022.0,0.0,44022.0,44022.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,22.715914769887785,22.715914769887785,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,501,122,0,32,0,0,0,0,0,0,0,0,No Label
192.168.0.104-54.192.150.107-36320-443-6,192.168.0.104,36320,54.192.150.107,443,6,19/09/2020 10:45:46 AM,12367869,1,3,0.0,24.0,0.0,0.0,0.0,0.0,24.0,0.0,8.0,13.856406460551018,1.9405121448165403,0.3234186908027567,4122623.0,7066896.587853894,1.2282624E7,18.0,0,0,0,0,0,1.2282642E7,6141321.0,8685113.993242575,1.2282624E7,18.0,0,0,0,0,32,96,0.08085467270068918,0.24256401810206754,0.0,24.0,4.8,10.73312629199899,115.2,1,0,0,1,4,0,0,0,3.0,6.0,0.0,8.0,0,0,0,0,0,0,0,0,0,6,501,122,0,32,0,0,0,0,1.600491658458828E15,0.0,1.600491658458828E15,1.600491658458828E15,No Label
192.168.0.104-54.192.150.107-36320-443-6,192.168.0.104,36320,54.192.150.107,443,6,19/09/2020 10:45:58 AM,45606,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.853878875586545,45606.0,0.0,45606.0,45606.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,21.926939437793273,21.926939437793273,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,501,122,0,32,0,0,0,0,0,0,0,0,No Label
192.168.0.104-142.250.67.170-53406-443-6,192.168.0.104,53406,142.250.67.170,443,6,19/09/2020 10:45:48 AM,10949299,1,3,0.0,56.0,0.0,0.0,0.0,0.0,56.0,0.0,18.666666666666664,32.331615074619044,5.114482671447734,0.3653201908176953,3649766.333333333,6237171.439317692,1.0851611E7,32.0,0,0,0,0,0,1.0851643E7,5425821.5,7673225.097481534,1.0851611E7,32.0,0,0,0,0,32,96,0.09133004770442382,0.27399014311327147,0.0,56.0,11.2,25.043961347997644,627.2,1,0,0,1,4,0,0,0,3.0,14.0,0.0,18.666666666666668,0,0,0,0,0,0,0,0,0,14,501,244,0,32,0,0,0,0,1.600491658855779E15,0.0,1.600491658855779E15,1.600491658855779E15,No Label
